# Optional curated GSE↔Atlas bridge for study-level enrichment.
# Never join Hub project_id (GSE*) to Atlas study_ID (ES*) by raw string equality.
# Rows with source=geo_ncbi are seeded from NCBI GEO pubmedids + Atlas PMID index.
#
gse_id	atlas_study_id	pmid	source
GSE100197	ES00668	29092053	geo_ncbi
GSE100227	ES00449;ES00754	28814741;29456763	geo_ncbi
GSE100825	ES00715	28861129	geo_ncbi
GSE101641	ES01060;ES01061;ES01062	30052057	geo_ncbi
GSE101764	ES00750	28791728	geo_ncbi
GSE101961	ES00535	29383109	geo_ncbi
GSE102177	ES00662	29099273	geo_ncbi
GSE102468	ES00618	29249830	geo_ncbi
GSE102504	ES00595	29692205	geo_ncbi
GSE103027	ES01463	32251296	geo_ncbi
GSE103253	ES00702;ES00703	28962690	geo_ncbi
GSE103541	ES01690;ES01691	33739972	geo_ncbi
GSE104087	ES00688;ES00689	29028809	geo_ncbi
GSE104376	ES00696	29026448	geo_ncbi
GSE104812	ES00061	29172065	geo_ncbi
GSE104942	ES01078	29491469	geo_ncbi
GSE105018	ES00733;ES00734;ES00735	29325449	geo_ncbi
GSE105078	ES01594	32820235	geo_ncbi
GSE105109	ES01231	30898171	geo_ncbi
GSE106089	ES00620;ES00621;ES00622;ES00623;ES00624;ES00625;ES00626;ES00627;ES00628;ES00629;ES00630;ES00631;ES00632;ES00633	29240761	geo_ncbi
GSE107143	ES00223	28698603	geo_ncbi
GSE107211	ES00578	29601581	geo_ncbi
GSE107459	ES00497	29235940	geo_ncbi
GSE107737	ES01049	30365064	geo_ncbi
GSE108213	ES01146	30821641	geo_ncbi
GSE109042	ES00523	29344313	geo_ncbi
GSE109446	ES00594	29692198	geo_ncbi
GSE109627	ES01377;ES01378	31775875	geo_ncbi
GSE109905	ES01270	31541176	geo_ncbi
GSE109914	ES00904	29982128	geo_ncbi
GSE111223	ES00721;ES00722	28851441	geo_ncbi
GSE111629	ES00721;ES00722	28851441	geo_ncbi
GSE111933	ES01617	32498593	geo_ncbi
GSE112047	ES00610	29740534	geo_ncbi
GSE112314	ES00900	30018309	geo_ncbi
GSE112611	ES01163	30779925	geo_ncbi
GSE112893	ES01343	31857576	geo_ncbi
GSE112905	ES01386	30920300	geo_ncbi
GSE113018	ES01282	30873861	geo_ncbi
GSE113725	ES00984	29790996	geo_ncbi
GSE114753	ES00122	28950428	geo_ncbi
GSE114763	ES00538;ES00539;ES00540	29382913	geo_ncbi
GSE115278	ES01161;ES01227;ES01229	30792424;31208038;31212707	geo_ncbi
GSE115508	ES00930	30373633	geo_ncbi
GSE115797	ES01074	30092825	geo_ncbi
GSE116300	ES00617	29255178	geo_ncbi
GSE116339	ES01113	30676242	geo_ncbi
GSE116992	ES00996;ES00997;ES00998	30459321	geo_ncbi
GSE117859	ES01026;ES01027	30545403	geo_ncbi
GSE117860	ES01026;ES01027	30545403	geo_ncbi
GSE118144	ES01151	30806140	geo_ncbi
GSE118940	ES01390	30913238	geo_ncbi
GSE119078	ES01425	32014011	geo_ncbi
GSE119144	ES01571	32762727	geo_ncbi
GSE120307	ES00999	30458022	geo_ncbi
GSE120610	ES01048	30563547	geo_ncbi
GSE121377	ES01326	31797753	geo_ncbi
GSE121633	ES01142;ES01143	30760334	geo_ncbi
GSE124565	ES01003;ES01004	30471352	geo_ncbi
GSE125895	ES01129	30712078	geo_ncbi
GSE126646	ES01025	30526669	geo_ncbi
GSE128821	ES01408;ES01534;ES01790;ES01791;ES01792	31004082;33076993;34507616	geo_ncbi
GSE128827	ES01245	31399127	geo_ncbi
GSE129364	ES01299;ES01300;ES01301	31334584	geo_ncbi
GSE129374	ES01308	31695765	geo_ncbi
GSE129376	ES01206	31109152	geo_ncbi
GSE129841	ES01338	31851703	geo_ncbi
GSE131433	ES01268;ES01269;ES01991;ES01992	31477727;37085889	geo_ncbi
GSE131461	ES01254;ES01255	31333715	geo_ncbi
GSE131627	ES01220	31253200	geo_ncbi
GSE131752	ES01221	31259468	geo_ncbi
GSE133062	ES01250	31303497	geo_ncbi
GSE133395	ES01373;ES01374;ES01375;ES01376	31888295	geo_ncbi
GSE133918	ES01381	31943067	geo_ncbi
GSE133985	ES01465	32255732	geo_ncbi
GSE138311	ES01464	32252817	geo_ncbi
GSE139404	ES01479	32317010	geo_ncbi
GSE140344	ES01331	31843015	geo_ncbi
GSE140800	ES01586	32760119	geo_ncbi
GSE141065	ES01545;ES01896	33151971;33784941	geo_ncbi
GSE142512	ES01460	32111940	geo_ncbi
GSE143307	ES01459	32090699	geo_ncbi
GSE143752	ES01422	31983058	geo_ncbi
GSE144858	ES01581	32745807	geo_ncbi
GSE146092	ES01552	32977850	geo_ncbi
GSE146116	ES01694	33769968	geo_ncbi
GSE147040	ES01505	32731254	geo_ncbi
GSE148663	ES01543	33145876	geo_ncbi
